n_MC,n,T,mu,mu_n,IS_Estimate,IS_Variance,CI
10000,1000,1,0.01,10,1.338114e-01,3.840657e+01,1.214649e-01
10000,1000,5,0.01,10,4.564206e-41,6.550596e-78,5.016358e-41
10000,1000,1,0.02,20,5.028787e-01,5.959451e+01,1.513043e-01
10000,1000,3,0.02,20,1.040213e-12,1.028232e-20,1.987439e-12
10000,1000,5,0.02,20,7.649941e-35,5.579990e-65,1.464080e-34
10000,1000,1,0.03,30,3.156015e-01,5.618461e-01,1.469118e-02
10000,1000,3,0.03,30,2.240789e-11,4.049885e-18,3.944295e-11
10000,1000,5,0.03,30,7.294375e-33,1.361094e-61,7.230897e-33
10000,1000,1,0.04,40,7.885396e-02,2.517620e-02,3.109877e-03
10000,1000,3,0.04,40,4.393012e-10,2.941368e-16,3.361420e-10
10000,1000,5,0.04,40,1.268603e-30,3.391352e-57,1.141391e-30
10000,1000,1,0.05,50,5.726183e-03,2.168720e-04,2.886356e-04
10000,1000,3,0.05,50,1.448351e-08,1.901555e-13,8.546780e-09
10000,1000,5,0.05,50,7.112462e-29,9.532891e-54,6.051463e-29
10000,1000,1,0.06,60,1.799977e-04,3.869856e-07,1.219258e-05
10000,1000,3,0.06,60,6.251687e-08,4.810992e-12,4.298980e-08
10000,1000,5,0.06,60,4.217962e-27,7.956842e-50,5.528642e-27
10000,1000,1,0.07,70,2.277861e-06,1.032083e-10,1.991157e-07
10000,1000,3,0.07,70,1.574206e-07,1.254948e-11,6.943220e-08
10000,1000,5,0.07,70,1.669926e-26,8.761814e-49,1.834616e-26
10000,1000,1,0.08,80,1.596280e-08,6.136527e-15,1.535357e-09
10000,1000,3,0.08,80,2.003807e-06,9.668066e-09,1.927161e-06
10000,1000,5,0.08,80,1.563321e-23,9.333347e-43,1.893506e-23
10000,1000,1,0.09,90,5.683288e-11,8.614117e-20,5.752458e-12
10000,1000,3,0.09,90,1.294035e-06,1.523271e-09,7.649563e-07
10000,1000,5,0.09,90,1.148974e-24,7.528808e-45,1.700635e-24
10000,1000,1,0.10,100,1.493114e-13,1.792804e-24,2.624306e-14
10000,1000,3,0.10,100,1.673050e-06,4.114616e-09,1.257224e-06
10000,1000,5,0.10,100,7.349534e-24,2.422355e-43,9.646439e-24
10000,1000,1,0.11,110,2.110906e-16,4.268007e-30,4.049120e-17
10000,1000,3,0.11,110,2.444754e-06,3.307283e-08,3.564378e-06
10000,1000,5,0.11,110,5.143289e-24,1.435633e-43,7.426255e-24
10000,1000,1,0.12,120,1.912054e-19,1.782380e-36,2.616666e-20
10000,1000,3,0.12,120,1.033378e-06,1.795753e-09,8.305608e-07
10000,1000,5,0.12,120,7.705724e-25,1.662764e-45,7.992146e-25
10000,1000,1,0.13,130,1.312763e-22,1.093936e-42,2.049954e-23
10000,1000,3,0.13,130,2.611994e-07,1.468318e-10,2.374970e-07
10000,1000,5,0.13,130,2.639626e-25,2.392187e-46,3.031417e-25
10000,1000,1,0.14,140,6.563589e-26,4.504441e-49,1.315432e-26
10000,1000,3,0.14,140,1.223520e-07,7.302881e-11,1.674924e-07
10000,1000,5,0.14,140,3.494271e-24,1.189633e-43,6.760123e-24
10000,1000,1,0.15,150,2.989865e-29,1.724485e-55,8.139126e-30
10000,1000,3,0.15,150,1.523323e-08,8.043726e-13,1.757829e-08
10000,1000,5,0.15,150,2.898693e-25,2.856975e-46,3.312847e-25
10000,1000,1,0.16,160,7.734116e-33,3.712365e-62,3.776361e-33
10000,1000,3,0.16,160,1.914056e-09,8.568773e-15,1.814293e-09
10000,1000,5,0.16,160,1.177649e-26,9.009899e-49,1.860407e-26
10000,1000,1,0.17,170,1.357424e-36,3.383452e-70,3.605190e-37
10000,1000,3,0.17,170,9.866128e-11,1.409189e-17,7.357541e-11
10000,1000,5,0.17,170,2.366553e-26,5.079513e-48,4.417323e-26